sampn,sample_id,hhsize,hhveh,sectr,own,rooms,incom,project,pktno,hhidu,resty,hhcrd,hhtaz,X1,wght2015,numWorkers
17502,4024480,8,0,2,1,3,2,4,30384206,1,3,0101000020F7070000999D767CD75C084137A20A5E27242341,8423,635,79.8018442238204,3
17503,4024490,9,0,2,1,3,2,4,30384206,1,3,0101000020F707000050CB8636C165084159226110DC222341,8422,636,52.1706761660144,2
17504,4024500,6,1,2,1,5,2,4,30384206,1,3,0101000020F7070000A97786795B5C0841B2BAAB4FCF272341,8423,637,49.5595740471466,1
17507,4024530,4,0,2,1,3,2,4,30384206,1,3,0101000020F70700006E66247EE36608415C116501162A2341,8421,638,22.0012986096756,1
17508,4024540,8,0,2,1,4,1,4,30384206,1,3,0101000020F70700003B53A54F215C0841CF21EB8AF4262341,8423,639,142.613619744894,2
17509,4024550,10,0,2,1,3,98,4,30384206,1,3,0101000020F70700007563AD93FF6408412E159040EE222341,8422,640,34.9559469017788,0
17511,4024570,12,0,2,3,6,2,4,30384206,1,3,0101000020F707000095CB6D1476670841563159CF17242341,8422,641,34.3438423049264,2
17512,4024580,10,0,2,1,4,98,4,30384206,1,3,0101000020F7070000FEB064E0E05F0841BC8DA046F2252341,8423,642,8.42603308705368,0
17514,4024600,3,1,2,1,4,2,4,30384207,1,3,0101000020F707000023BE73B5975908411301AB91B7272341,8423,643,13.2549050616816,2
17516,4024620,5,1,3,1,4,2,4,30384207,1,3,0101000020F7070000A8CA33112E530841B08D684DC4252341,8412,644,81.4971851095361,2
17517,4024630,8,1,2,1,4,2,4,30384207,1,3,0101000020F7070000330C33E47E5608416846BE7B07262341,8423,645,34.0318486545689,1
17518,4024640,3,0,2,1,4,2,4,30384207,1,3,0101000020F70700004763930FA0660841DED73002BD232341,8422,646,5.01815646089486,0
17521,4024670,8,0,2,1,4,2,4,30384207,1,3,0101000020F7070000783E0C2BBD6B08417D110B15112B2341,8421,647,51.285370660215,1
17523,4024690,4,0,2,1,3,1,4,30384207,1,3,0101000020F7070000AA611ED45D6B084155E5D9A55E2A2341,8421,648,5.01144746841023,0
17524,4024700,2,0,2,1,5,2,4,30384207,1,3,0101000020F70700003D6FFF9E04640841C190F0731D232341,8422,649,26.8117925976518,0
17525,4024710,2,0,2,1,4,1,4,30384207,1,3,0101000020F70700004ACB3878176208412DE563137D262341,8423,650,26.8117925976518,0
17526,4024720,5,0,2,1,4,2,4,30384207,1,3,0101000020F70700007F59DB17D0530841FC940171E0262341,8423,651,48.7185773993476,2
17527,4024730,4,1,2,1,6,1,4,30384207,1,3,0101000020F7070000819A39B104590841052F37F59B242341,8423,652,22.0012986096756,2
17528,4024740,7,0,2,1,3,3,4,30384207,1,3,0101000020F70700007CB926F3E46A0841D00A48FF11232341,8422,653,50.4150882650252,1
17529,4014400,2,1,3,3,3,3,4,30175204,2,2,0101000020F7070000DB52B9605B75094127A210500F512341,7521,654,10.658881661247,1
17530,4007320,1,0,3,2,4,1,4,30103107,3,3,0101000020F707000019A58EBD5F000B41E71708E1F22F2341,3101,655,52.0433048035292,1
17554,4010800,1,0,99,3,1,2,4,30305301,2,3,0101000020F7070000EEBBAFCBE2A30A418C4CD8D05D542341,5306,656,86.7929254014879,1
17572,4007520,3,1,2,1,3,98,4,30104102,2,2,0101000020F70700004A5363F544B50A41D803840E3A3A2341,4101,657,9.62667151687397,0
17580,4010890,3,0,2,2,2,2,4,30305301,4,2,0101000020F70700001077FD939A9D0A41C23BF27FFB512341,5305,658,46.5624054818627,1
17598,4014460,5,2,3,2,4,4,4,30175204,4,1,0101000020F7070000442D8E7C8B700941569335D289502341,7521,659,25.8591476226384,2
17732,4010970,3,0,2,2,2,3,4,30305302,4,2,0101000020F707000027788CAE5D9E0A41294BD758C0512341,5305,660,96.2410749322942,2
17759,4007320,1,0,3,2,3,4,4,30103107,3,3,0101000020F707000019A58EBD5F000B41E71708E1F22F2341,3101,661,126.560616643346,1
17762,4014560,1,1,3,3,4,2,4,30175205,2,2,0101000020F7070000B9798B9A166B0941141319C64C4E2341,7521,662,14.5333217027828,1
17780,4014690,3,2,3,1,5,3,4,30175205,3,2,0101000020F70700002238C37584840941CA0D71A8BF4D2341,7521,663,17.4645738898339,2
17781,4014430,2,0,3,1,4,97,4,30175204,5,2,0101000020F7070000231C052FF97D09415D764612C64D2341,7521,664,13.7816714465123,0
17822,4023580,2,0,3,1,3,2,4,30185006,2,3,0101000020F7070000191E6A0FA4980841ED4609CE195D2341,8502,665,13.0472007623149,1
17824,4017690,2,1,3,2,3,3,4,30183004,2,2,0101000020F7070000C18FB2F9C7CA074192A70D1B850C2341,8304,666,25.4258921781571,2
17828,4017680,2,2,3,3,4,5,4,30183004,3,2,0101000020F70700000B44A48F71BB0741BDFD44AD300C2341,8304,667,25.4258921781571,2
17850,4009240,1,0,3,2,3,1,4,30104403,2,2,0101000020F707000048CFF13018920A4103827CD676352341,4403,668,199.577542547162,1
17896,4010890,1,0,3,2,2,3,4,30305301,4,2,0101000020F70700001077FD939A9D0A41C23BF27FFB512341,5305,669,57.9826028439563,0
17911,4017660,4,1,3,1,5,3,4,30183004,3,2,0101000020F707000011AE854262CC0741D80FE1A1470C2341,8304,670,11.1431233935715,4
17983,4017650,3,1,3,2,3,4,4,30183004,3,2,0101000020F70700007C03F2354CD6074140768F95F90B2341,8304,671,13.1181184526738,2
18036,4023500,1,0,3,1,4,98,4,30185005,2,2,0101000020F70700001E868125E28C084169D540DFC55C2341,8502,672,9.5386979400489,0
18067,4010970,1,1,3,1,4,2,4,30305302,4,2,0101000020F707000027788CAE5D9E0A41294BD758C0512341,5305,673,86.7929254014879,1
